preco,area,salas,quartos,suites,banheiros,andar,garagens,iptu,condominio,portaria,espaco_social,piscina,academia
253000.0,65,1,3,0,1,6.0,1,48.97,300.0,0,1,1,0
514984.0,165,3,3,1,3,1.0,3,136.33,200.0,1,0,0,0
300000.0,64,1,3,1,1,4.0,1,100.0,130.0,0,0,0,0
302500.0,90,1,2,0,1,4.0,1,150.0,180.0,0,0,0,0
295000.0,120,2,2,0,2,3.0,1,54.68,100.0,0,0,0,0
250000.0,45,1,2,0,1,3.0,1,66.67,250.0,0,0,0,0
320000.0,90,2,2,0,2,4.0,2,75.0,350.0,0,0,0,0
297000.0,60,1,2,0,1,1.0,1,74.5,200.0,0,0,0,0
430000.0,111,2,3,1,2,2.0,1,124.67,200.0,0,0,0,0
350000.0,67,2,3,1,2,1.0,1,85.83,200.0,0,0,0,0
425530.0,72,2,3,1,2,2.0,1,91.67,200.0,1,0,1,0
188769.24,60,1,2,0,1,3.0,1,35.67,200.0,0,0,0,0
300000.0,103,1,2,0,1,4.0,2,91.67,170.0,0,0,0,0
250000.0,54,1,2,0,1,3.0,1,33.33,230.0,0,0,0,0
349000.0,70,2,3,1,2,4.0,1,100.0,270.0,1,1,1,1
270000.0,55,2,2,1,2,7.0,1,90.0,340.0,1,1,1,1
345000.0,60,2,2,1,2,5.0,1,250.0,250.0,1,1,1,1
299000.0,130,1,2,0,1,1.0,1,66.67,250.0,1,1,1,1
349000.0,72,2,3,1,2,7.0,1,76.23,230.0,1,1,1,1
280000.0,79,2,3,0,2,2.0,1,89.83,780.0,1,1,1,0
260000.0,83,2,3,0,2,4.0,1,107.0,750.0,1,0,0,0
350000.0,83,2,3,0,2,5.0,1,85.0,660.0,1,1,1,0
372600.0,80,2,3,0,2,9.0,1,76.65,730.0,1,1,1,0
255000.0,80,1,3,0,1,6.0,1,105.0,788.0,1,1,1,0
160000.0,49,1,2,0,1,2.0,1,34.76,100.0,0,0,0,0
320000.0,98,1,2,1,1,0.0,1,57.01,108.0,0,0,0,0
260000.0,60,1,2,1,1,11.0,1,81.67,360.0,1,1,1,1
380000.0,70,2,3,1,2,7.0,1,83.33,470.0,1,1,1,1
200000.0,60,1,3,0,1,4.0,1,34.5,250.0,1,0,0,0
692500.0,150,2,3,1,2,3.0,2,166.67,250.0,0,0,0,0
750000.0,150,2,2,0,2,1.0,2,150.0,315.0,0,0,0,0
699000.0,63,2,3,1,2,2.0,2,34.75,350.0,0,0,0,0
531728.0,135,2,2,1,2,1.0,2,100.0,200.0,1,0,0,0
392900.0,55,2,2,1,2,2.0,2,80.0,280.0,0,0,0,0
382800.0,55,2,2,1,2,3.0,2,80.0,250.0,0,0,0,0
