preco,area,salas,quartos,suites,banheiros,andar,garagens,iptu,condominio,portaria,distancia_metro,espaco_social,piscina,academia,lat,lng,ranking_escola,distancia_escola,renda_media,qtd_crimes_violentos,farmacias_proximas,supermercados_proximos,parques_proximos
216000.0,45,1,2,0,1,2.0,1,33.33,100.0,0,1568,0,0,0,-19.8176169,-43.9610175,71,0.224,1853,36,15,6,3
217000.0,44,1,2,0,1,3.0,1,33.33,100.0,0,1568,0,0,0,-19.8176169,-43.9610175,71,0.224,1853,36,15,6,3
217000.0,44,1,2,0,1,2.0,1,33.33,100.0,0,1568,0,0,0,-19.8176169,-43.9610175,71,0.224,1853,36,15,6,3
216000.0,44,1,2,0,1,2.0,1,33.33,100.0,0,1568,0,0,0,-19.8176169,-43.9610175,71,0.224,1853,36,15,6,3
330000.0,110,2,3,1,2,2.0,1,1000.0,160.0,0,6345,0,0,0,-19.81302394,-44.00664861,95,0.738,1472,66,9,10,1
187716.24,49,1,2,0,1,3.0,1,32.79,175.0,0,5998,0,1,0,-19.81853387,-44.0039623,95,0.973,1472,66,4,5,1
310000.0,90,1,2,0,1,4.0,2,172.0,189.0,0,5328,0,0,0,-19.81948673,-43.99759847,110,0.744,1705,66,11,6,1
199000.0,55,1,2,0,1,3.0,1,77.76,285.0,0,1134,0,0,0,-19.81360343,-43.95306023,104,0.503,1887,17,12,5,2
200000.0,56,1,2,0,1,1.0,1,69.17,360.0,1,1079,0,1,0,-19.81406018,-43.95282404,104,0.501,1887,17,13,5,3
270000.0,62,1,3,0,1,2.0,1,800.0,398.0,1,1079,0,1,0,-19.81406018,-43.95282404,104,0.501,1887,17,13,5,3
230000.0,92,1,2,0,1,8.0,1,79.5,382.0,1,1079,0,1,0,-19.81406018,-43.95282404,104,0.501,1887,17,13,5,3
190000.0,52,1,2,0,1,8.0,1,73.17,360.0,1,1079,0,1,0,-19.81406018,-43.95282404,104,0.501,1887,17,13,5,3
210000.0,58,2,2,0,2,3.0,1,79.75,355.0,1,1024,1,1,0,-19.81463644,-43.95277231,104,0.484,1887,17,16,5,2
198000.0,54,1,2,0,1,2.0,1,65.83,350.0,1,1024,1,1,0,-19.81463644,-43.95277231,104,0.484,1887,17,16,5,2
384000.0,110,1,3,0,1,8.0,1,111.33,490.0,1,1025,0,1,0,-19.8146751,-43.9528256,104,0.477,1887,17,15,5,3
475000.0,140,2,4,1,2,3.0,2,124.24,100.0,0,2906,0,0,0,-19.81666887,-43.97395233,64,0.265,2196,36,7,3,7
145000.0,60,1,2,0,1,4.0,1,50.0,280.0,1,3037,0,1,0,-19.819556,-43.97566,64,0.167,2196,36,9,3,5
205000.0,62,1,2,0,1,1.0,1,20.83,250.0,1,3034,0,0,0,-19.82012556,-43.97568085,64,0.199,2196,36,10,3,5
150000.0,65,1,2,0,1,1.0,1,45.0,300.0,1,3010,0,1,0,-19.8201335,-43.97544685,64,0.181,2196,36,10,3,5
174232.07,63,1,2,0,1,4.0,1,28.33,300.0,0,3010,0,0,0,-19.8201335,-43.97544685,64,0.181,2196,36,10,3,5
303500.0,75,1,2,0,1,1.0,1,125.0,150.0,0,3150,0,0,0,-19.8207982,-43.9768211,64,0.34,2196,36,11,4,3
276000.0,51,1,2,0,1,2.0,2,64.62,200.0,0,2606,0,0,0,-19.82081994,-43.97162379,64,0.329,2196,36,11,2,4
280000.0,59,2,2,1,2,2.0,2,40.0,270.0,0,3177,0,1,0,-19.8214767,-43.9771029,64,0.409,2196,36,10,5,3
288000.0,100,2,3,1,2,3.0,1,956.0,170.0,0,2512,0,0,0,-19.82214974,-43.97074248,64,0.495,2196,36,9,4,3
495000.0,116,2,3,1,2,4.0,2,80.33,150.0,0,3270,0,0,0,-19.82263217,-43.9779841,64,0.564,2196,36,11,6,2
330000.0,58,1,2,0,1,3.0,2,80.33,150.0,0,3270,0,0,0,-19.82263217,-43.9779841,64,0.564,2196,36,11,6,2
199000.0,43,1,2,0,1,2.0,0,24.98,150.0,0,2558,0,0,0,-19.8227246,-43.97117261,64,0.513,2196,36,11,4,3
310000.0,70,1,3,0,1,3.0,1,70.0,280.0,0,2627,0,0,0,-19.82298041,-43.97181696,64,0.499,2196,36,11,4,3
590000.0,150,3,3,1,3,3.0,2,138.82,250.0,0,2934,0,0,0,-19.823513,-43.97472603,64,0.497,2196,36,12,5,4
245000.0,60,1,3,0,1,4.0,1,75.0,220.0,0,2408,0,0,0,-19.82374169,-43.96967403,64,0.7,2196,36,8,3,3
400000.0,96,1,2,0,1,4.0,1,113.0,150.0,0,2408,0,0,0,-19.82487999,-43.96953002,64,0.807,2196,36,8,2,3
780000.0,164,3,3,1,3,3.0,2,100.0,200.0,0,3746,0,0,0,-19.8249386,-43.9823983,124,0.407,1273,36,17,8,2
450000.0,82,2,3,1,2,2.0,2,100.0,200.0,0,3746,0,0,0,-19.8249386,-43.9823983,124,0.407,1273,36,17,8,2
750000.0,157,2,3,1,2,1.0,2,100.0,200.0,0,3746,0,0,0,-19.8249386,-43.9823983,124,0.407,1273,36,17,8,2
520000.0,140,3,2,1,3,3.0,1,125.0,220.0,0,2817,0,0,0,-19.825919,-43.9733237,64,0.765,2196,36,10,3,2
350000.0,66,2,3,1,2,2.0,1,68.0,110.0,0,2817,0,0,0,-19.825919,-43.9733237,64,0.765,2196,36,10,3,2
250000.0,48,1,2,0,1,1.0,1,35.0,230.0,0,3460,0,0,0,-19.8260167,-43.9795227,124,0.431,1273,36,8,2,1
262900.0,50,2,2,1,2,4.0,1,80.0,200.0,0,3803,0,0,0,-19.82606666,-43.98281446,124,0.282,1273,36,13,5,2
242600.0,50,1,2,0,1,2.0,1,80.0,120.0,0,3803,0,0,0,-19.82606666,-43.98281446,124,0.282,1273,36,13,5,2
380000.0,90,2,3,1,2,3.0,1,81.23,400.0,0,2881,0,0,0,-19.82714388,-43.97370709,64,0.897,2196,36,6,3,1
398000.0,90,2,3,1,2,1.0,1,180.0,135.0,1,3017,0,0,0,-19.82804998,-43.97482,124,0.817,1273,36,5,2,0
205000.0,58,1,2,0,1,1.0,1,95.0,150.0,0,3524,0,0,0,-19.82884154,-43.97960577,124,0.314,1273,36,5,3,0
250000.0,62,1,3,0,1,8.0,1,90.0,430.0,0,3351,1,1,0,-19.8290029,-43.9778658,124,0.498,1273,36,4,2,0
180000.0,62,1,2,0,1,2.0,1,67.0,200.0,0,3822,0,0,0,-19.82918615,-43.98244273,124,0.066,1273,36,11,6,0
249000.0,67,1,2,0,1,1.0,1,59.39,200.0,0,3822,0,0,0,-19.82918615,-43.98244273,124,0.066,1273,36,11,6,0
315000.0,60,1,3,0,1,7.0,1,61.67,370.0,0,3326,1,1,0,-19.8293884,-43.9775124,124,0.54,1273,36,4,2,0
